product_id,about_the_product,children
148674,"Ghee is a type of clarified butter commonly used in Indian cooking and various South Asian cuisines. Ghee has a rich, nutty flavour and high smoke point, making it ideal for frying, sautÃ©ing, and seasoning dishes. It is also used in traditional sweets and as a flavour enhancer in a range of recipes. Ghee is prized for its culinary versatility and distinctive taste.",Y
40022618,"Nandini Ghee is a high-quality clarified butter that is a staple in Indian households. Renowned for its rich aroma and golden hue, this ghee elevates the flavour profile of any dish it graces. From aromatic biryanis to delectable sweets, Nandini Ghee adds a touch of culinary brilliance with its unique taste. Its purity is its hallmark, reflecting the brand's commitment to quality and traditional methods of preparation. Nandini Ghee is not just a cooking essential, but a key ingredient that nourishes and enriches, making every meal an unforgettable experience.",Y
152541,"Nandini Ghee is a high-quality clarified butter that is a staple in Indian households. Renowned for its rich aroma and golden hue, this ghee elevates the flavour profile of any dish it graces. From aromatic biryanis to delectable sweets, Nandini Ghee adds a touch of culinary brilliance with its unique taste. Its purity is its hallmark, reflecting the brand's commitment to quality and traditional methods of preparation. Nandini Ghee is not just a cooking essential, but a key ingredient that nourishes and enriches, making every meal an unforgettable experience.",Y
1214143,"Nandini Pure Ghee, made from cow's milk by adopting traditional procedures and meeting stringent quality standards. A taste of purity. This Special Grade Agmark ghee is quality assured to make foods, sweet dishes, Kheers, and sweets flavorsome and mouth-watering. Provides a wide range of essential nutrients. Improves brain and body functions and boosts immunity. A highly clarified butter that is used traditionally in Indian cuisines. It is considered to be a healthy fat and a powerhouse of nutrients. It adds much-needed taste and health to your diet. Ghee has a great nutritive value and is a must-have to develop bone strength. 1 spoon a day of Ghee keeps you fit & strong in this fast life where we need to be active & energetic always. Ghee can be consumed for better digestion. Ghee stimulates muscle movements, strengthens the sense organ, nourishes the skin, and improves complexion. Perfect for everyday consumption and helps you stay active and provides vitality. It is considered to have healthy fats and makes the food delicious and drool-worthy.",Y
1214144,"Rich in proteins and whey, Ghee or clarified butter produced by Nandini is a pure substance that is derived from a simple process that involves boiling the butter and draining the buttermilk at the end of the boiling process. This dairy product contains a strong protein element in terms of whey and casein, as well as milk solids like lactose. The clarified butter or Ghee is also rich in Vitamins like A and K, which aids in the lubrication of joints and better digestive health.",Y
126906,"Launched on 27th May 2002, Aashirvaad Whole Wheat Atta has now become number one in branded packaged atta across the country. Behind every Aashirvaad pack are the Indian farmers and Aashirvaad experts who’ve made the atta with extra care. Aashirvaad prides itself in making 100% pure whole wheat atta with all its natural dietary fibres intact which ensure that you and your family receive optimum nutrition for a healthy life. Directly sourced from a wide network of Indian rural farmers, Aashirvaad Superior MP Atta is Made in India. They are showered with just the right amount of rain and sun-kissed to perfection which allows the grains to be heavy on the palm and amber in colour. The grain produce goes through a 3-step cleaning process that ensures the best quality of wheat grains. These expertly sourced grains undergo mechanised packaging that ensures zero human contact and 100% safety. To ensure the retention of the wheat’s high nutritional value, the grains are ground using the traditional ‘chakki’ method. This helps locking-in the highest nutritional value in whole wheat flour. The dietary fibres and natural nutrients help in easy digestion and supporting immunity which is essential for your family’s daily intake. The dough made from Aashirvaad Superior MP Atta absorbs more water which makes sure that the rotis remain softer for a longer period. You and your family can lead a fit and healthier lifestyle as you enjoy soft, fluffy and delicious rotis from this naturally protein-rich whole wheat atta.",N
30006887,"Launched on 27th May 2002, Aashirvaad Whole Wheat Atta has now become number one in branded packaged atta across the country. Behind every Aashirvaad pack are the Indian farmers and Aashirvaad experts who’ve made the atta with extra care. Aashirvaad prides itself in making 100% pure whole wheat atta with all its natural dietary fibres intact which ensures that you and your family receive optimum nutrition for a healthy life. Directly sourced from a wide network of Indian rural farmers, Aashirvaad Superior MP Atta is Made in India. They are showered with just the right amount of rain and sun-kissed to perfection which allows the grains to be heavy on the palm and amber in colour. The grain produce goes through a 3-step cleaning process that ensures the best quality of wheat grains. These expertly sourced grains undergo mechanised packaging that ensures zero human contact and 100% safety. To ensure the retention of the wheat’s high nutritional value, the grains are ground using the traditional ‘chakki’ method. This helps locking-in the highest nutritional value in whole wheat flour. The dietary fibres and natural nutrients help in easy digestion and supporting immunity which is essential for your family’s daily intake. The dough made from Aashirvaad Superior MP Atta absorbs more water which makes sure that the rotis remain softer for a longer period. You and your family can lead a fit and healthier lifestyle as you enjoy soft, fluffy and delicious rotis from this naturally protein-rich whole wheat atta",Y
161826,"Launched on 27th May 2002, Aashirvaad Whole Wheat Atta has now become the number one branded packaged atta across the country. Behind every Aashirvaad pack are the Indian farmers and Aashirvaad experts who have made the atta with extra care. Aashirvaad prides itself on making 100% pure whole wheat atta with all its natural dietary fibres intact, ensuring that you and your family receive optimum nutrition for a healthy life. Directly sourced from a wide network of Indian rural farmers, Aashirvaad Superior MP Atta is Made in India. The grains are showered with just the right amount of rain and sun-kissed to perfection, allowing them to be heavy on the palm and amber in colour. The grain produce goes through a 3-step cleaning process that ensures the best quality of wheat grains. These expertly sourced grains undergo mechanised packaging that ensures zero human contact and 100% safety. To ensure the retention of the wheatâ€™s high nutritional value, the grains are ground using the traditional â€˜chakkiâ€™ method, helping to lock in the highest nutritional value in whole wheat flour. The dietary fibres and natural nutrients help in easy digestion and supporting immunity, which is essential for your familyâ€™s daily intake. The dough made from Aashirvaad Superior MP Atta absorbs more water, ensuring that the rotis remain softer for a longer period. You and your family can lead a fit and healthier lifestyle as you enjoy soft, fluffy, and delicious rotis from this naturally protein-rich whole wheat atta.",Y
126903,"Launched on 27th May 2002, Aashirvaad Whole Wheat Atta has now become number one in branded packaged atta across the country. Behind every Aashirvaad pack are the Indian farmers and Aashirvaad experts who’ve made the atta with extra care. Aashirvaad prides itself in making 100% pure whole wheat atta with all its natural dietary fibres intact which ensure that you and your family receive optimum nutrition for a healthy life. Directly sourced from a wide network of Indian rural farmers, Aashirvaad Superior MP Atta is Made in India. They are showered with just the right amount of rain and sun-kissed to perfection which allows the grains to be heavy on the palm and amber in colour. The grain produce goes through a 3-step cleaning process that ensures the best quality of wheat grains. These expertly sourced grains undergo mechanised packaging that ensures zero human contact and 100% safety. To ensure the retention of the wheat’s high nutritional value, the grains are ground using the traditional ‘chakki’ method. This helps locking-in the highest nutritional value in whole wheat flour. The dietary fibres and natural nutrients help in easy digestion and supporting immunity which is essential for your family’s daily intake. The dough made from Aashirvaad Superior MP Atta absorbs more water which makes sure that the rotis remain softer for a longer period. You and your family can lead a fit and healthier lifestyle as you enjoy soft, fluffy and delicious rotis from this naturally protein-rich whole wheat atta.",Y
40295212,"Sona Masoori Super Premium raw rice, aged for over 18 months, is prized for its exceptional quality and rich flavour. With a distinct aroma and superior texture, it cooks to perfection, offering a delightful eating experience. Aged rice tends to be firmer and more flavourful, making it a preferred choice for those who appreciate premium rice varieties in their cooking.",N
40075897,"Sona Masoori Raw Rice is a premium quality rice known for its lightweight and aromatic grains. Perfect for everyday meals, it cooks to a soft, fluffy texture, ideal for a variety of dishes from curries to stir-fries. This rice offers a delicate taste and fragrant aroma. Enjoy the authentic flavour and superior quality of Sona Masoori Raw Rice in every serving.",Y
40075895,"Experience the exquisite quality of bb Royal Sona Masoori Super Premium Raw Rice. Light and fluffy with every grain, it’s the perfect choice for your culinary creations. Ideal for daily meals and special occasions, this rice elevates your dishes with its exceptional texture and delicate aroma. Savour the difference.",Y
40075896,"Sona Masoori Raw Rice is a premium quality rice known for its lightweight and aromatic grains. Perfect for everyday meals, it cooks to a soft, fluffy texture, ideal for a variety of dishes from curries to stir-fries. This rice offers a delicate taste and fragrant aroma. Enjoy the authentic flavour and superior quality of Sona Masoori Raw Rice in every serving.",Y
20005940,"Sona masoori rice is triple polished, double silky, sorted rice.
It is extremely sweet-smelling and due to its smell, it is measured to be of greater quality.
It is simple to digest and sorted dirt-free quality, broken under 2%, moisture 14% max; it is believed to be of greater quality. 
Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/233/rice-rice-products/",Y
40065538,"Natureland brings you the best quality of unadulterated natural Heeng Powder which is a mixture of Heeng in Liquid form - 40%, Wheat Flour - 30%, Eatable Gum - 15% and Urad Dal Flour - 15% since heeng cannot be consumed in its raw form or state. Enjoy the strong, unique aroma and flavor our heeng for harmonizing sweet, sour, salty and spicy components of your food.",N
40042841,"Toor Dal, also known as Arhar Dal or Desi split pigeon peas, is a staple in Indian kitchens, prized for its earthy flavour and nutritional benefits. Rich in protein, fibre, and essential vitamins and minerals, it supports a balanced diet and promotes overall health. Toor Dal is easy to cook and highly versatile, commonly used in soups, stews, and curries.",N
10000444,"Toor Dal is not only delicious but also has nutritional value. It contains a good amount of fibre. Toor dal is an excellent source of nutrients and plant protein, and it also contains dietary fibre. Legumes are nutritious, though they represent a low-fat and low-cholesterol alternative. Toor dal, rich in protein, vitamins, and iron, is often served with rich spices over rice and rotis..",Y
10000425,"Toor Dal, also known as Arhar Dal or Desi split pigeon peas, is a staple in Indian kitchens, prized for its earthy flavour and nutritional benefits. Rich in protein, fibre, and essential vitamins and minerals, it supports a balanced diet and promotes overall health. Toor Dal is easy to cook and highly versatile, commonly used in soups, stews, and curries.",Y
10000804,"Toor Dal, also known as Arhar Dal or Desi split pigeon peas, is a staple in Indian kitchens, prized for its earthy flavour and nutritional benefits. Rich in protein, fibre, and essential vitamins and minerals, it supports a balanced diet and promotes overall health. Toor Dal is easy to cook and highly versatile, commonly used in soups, stews, and curries.",Y
40000291,"For most Indians, comfort food is always linked to easy-to-cook homemade meals, and what can be more convenient and quicker than preparing a hearty dal meal? Essential in every household, Tata Sampann dals are unpolished and do not undergo any artificial polishing with water, oil, or leather, thereby retaining their goodness and wholesome character. The 5-step process ensures that Tata Sampann grains are uniform and of premium quality, giving you an all-natural, authentic taste. A staple in the Indian diet, Toor Dal provides nutrients such as protein and fibre. Made of select grains and recommended by Chef Sanjeev Kapoor and Chef Ranveer Brar, Tata Sampann Unpolished Toor Dal makes for a delicious meal choice. So, whenever you are in the mood to cook something easy and delicious, dive into the scrumptious taste of Tata Sampann pulses and enjoy a lovely meal! Explore Tata Sampann Pulses range â€“ Kabuli Chana, Chana dal, Moong dal, Moong dal Chilka, Green Moong, Masoor dal, Masoor Small dal, Masoor Whole dal, Kali Masoor dal, Urad dal, Urad Whole dal, Urad Kali, Kala Chana, and Rajma.",N
40000292,"For most Indians, comfort food is always linked to easy-to-cook homemade meals, and what can be more convenient and quicker than preparing a hearty dal meal? Essential in every household, Tata Sampann dals are unpolished and do not undergo any artificial polishing with water, oil, or leather, thereby retaining their goodness and wholesome character. The 5-step process ensures that Tata Sampann grains are uniform and of premium quality, giving you an all-natural, authentic taste. A staple in the Indian diet, Toor Dal provides nutrients such as protein and fibre. Made of select grains and recommended by Chef Sanjeev Kapoor and Chef Ranveer Brar, Tata Sampann Unpolished Toor Dal makes for a delicious meal choice. So, whenever you are in the mood to cook something easy and delicious, dive into the scrumptious taste of Tata Sampann pulses and enjoy a lovely meal! Explore Tata Sampann Pulses range â€“ Kabuli Chana, Chana dal, Moong dal, Moong dal Chilka, Green Moong, Masoor dal, Masoor Small dal, Masoor Whole dal, Kali Masoor dal, Urad dal, Urad Whole dal, Urad Kali, Kala Chana, and Rajma.",Y
40289045,"For most Indians, comfort food is always linked to easy-to-cook homemade meals, and what can be more convenient and quick than preparing a hearty dal meal? Essential in every household, Tata Sampann dals are unpolished and do not undergo any artificial polishing with water, oil, or leather, thereby retaining their goodness and wholesome character. The 5-step process ensures that Tata Sampann grains are uniform and of premium quality, giving you an all-natural authentic taste. A staple in the Indian diet, Toor Dal provides nutrients such as protein and fibre. Made of select grains and recommended by Chef Sanjeev Kapoor and Chef Ranveer Brar, Tata Sampann Unpolished Toor Dal makes for a delicious meal choice. So whenever you are in the mood to cook something easy and delicious, dive into the scrumptious taste of Tata Sampann pulses and enjoy a lovely meal! Explore Tata Sampann Pulses range – Kabuli Chana, Chana dal, Moong dal, Moong dal Chilka, Green Moong, Masoor dal, Masoor Small dal, Masoor Whole dal, Kali Masoor dal, Urad dal, Urad Whole dal, Urad Kali, Kala Chana, and Rajma.",Y
1227711,"For most Indians, comfort food is always linked to easy-to-cook homemade meals, and what can be more convenient and quick than preparing a hearty dal meal? Essential in every household, Tata Sampann dals are unpolished and do not undergo any artificial polishing with water, oil or leather, thereby retaining their goodness and wholesome character. The 5-step process ensures that Tata Sampann grains are uniform and of premium quality, giving you an all-natural, authentic taste. A staple in the Indian diet, Toor Dal provides nutrients such as Protein & Fibre. Made of select grains and recommended by Chef Sanjeev Kapoor and Chef Ranveer Brar, Tata Sampann Unpolished Toor Dal makes for a delicious meal choice. So, whenever you are in the mood to cook something easy and delicious, dive into the scrumptious taste of Tata Sampann pulses, and enjoy a lovely meal! Explore Tata Sampann Pulses range â€“Kabuli Chana, Chana dal, Moong dal, Moong dal Chilka, Green Moong, Masoor dal, Masoor Small dal, Masoor Whole dal, Kali Masoor dal, Urad dal, Urad Whole dal, Urad Kali, Kala Chana, and Rajma.",Y
40289046,"For most Indians, comfort food is always linked to easy-to-cook homemade meals, and what can be more convenient and quick than preparing a hearty dal meal? Essential in every household, Tata Sampann dals are unpolished and do not undergo any artificial polishing with water, oil, or leather, thereby retaining their goodness and wholesome character. The 5-step process ensures that Tata Sampann grains are uniform and of premium quality, giving you an all-natural, authentic taste. A staple in the Indian diet, Toor Dal provides nutrients such as protein and fibre. Made of select grains and recommended by Chef Sanjeev Kapoor and Chef Ranveer Brar, Tata Sampann Unpolished Toor Dal makes for a delicious meal choice. So whenever you are in the mood to cook something easy and delicious, dive into the scrumptious taste of Tata Sampann pulses and enjoy a lovely meal! Explore Tata Sampann Pulses range â€“ Kabuli Chana, Chana dal, Moong dal, Moong dal Chilka, Green Moong, Masoor dal, Masoor Small dal, Masoor Whole dal, Kali Masoor dal, Urad dal, Urad Whole dal, Urad Kali, Kala Chana, and Rajma.",Y
40261325,"Natureland Organics Sunflower Oil is an excellent cooking oil for your home. Natureland Organics Sunflower Oil is cold-pressed and 100% organic. Sunflower oil is a non-comedogenic carrier oil, which is highly absorbent and won't clog pores. It is non-irritating for most people and can be used on all types of skin, including dry, normal, oily, and acne-prone. It is also a great zero-cholesterol oil for cooking, frying, and tadka for your desi dishes. Explore the wide range of Natureland Organics groceries, from oils to wheat flour, dry fruits, and more, only on Big Basket.",N
40065535,"Natureland Organic Sunflower Oil is squeezed directly from sunflower seeds by crushing them by pressing seeds under a low-temperature condition known as cold pressing resulting in healthy and nutritious oil with mild and pleasant flavour. The oil contains appreciable quantities of vitamin E, sterols, squalene, and other aliphatic hydrocarbons, terpene and methyl ketones.",Y
1228371,"Fortune Sunflower Oil is a light, healthy and nutritious cooking oil. Being rich in vitamins and consisting mainly of polyunsaturated fatty acids, it makes food easy to digest.",N
40317533,"Fortune Sunflower Oil is more than just a cooking oil; it's a culinary essential that promotes both taste and well-being. This light, heart-healthy oil, brimming with essential vitamins and primarily composed of polyunsaturated fatty acids, not only adds a delectable touch to your dishes but also aids in effortless digestion. Elevate your cooking and nourish your family with Fortune Sunflower Oil – the key to both health and flavour in every meal.",Y
274145,"Welcome dishes that are delicious and super light! Fortune Sunflower seed oil is a light, healthy and nutritious cooking oil. Being rich in vitamins and polyunsaturatedfatty acids, Fortune's sunflower oil makes food easy to digest and light. So, be it evening snacks or midnight cravings, no need to hold back as Fortune's sunflower seed oil will take care of your health!",Y
1228381,"Fortune Sunflower Oil is a light, healthy and nutritious cooking oil. Being rich in vitamins and consisting mainly of polyunsaturated fatty acids, it makes food easy to digest.",Y
1204455,"Fortune Sun Lite Refined Sunflower Oil is a healthy, light and nutritious oil that is simple to digest. Rich in natural vitamins, it consists mostly of poly-unsaturated fatty acids (PUFA) and is low in soaked fats. It is strong and makes you feel light and active level after heavy food.",Y
252429,"Experience the rich and authentic taste of GRB Ghee, crafted from premium butter using traditional methods. Perfect for cooking and baking, its golden hue and nutty aroma enhance every dish. Enjoy the pure, natural goodness that brings a touch of culinary excellence to your kitchen.",N
40270377,"An ISO.22000:2005 Certified Company GRB Ghee has the same taste, aroma and granulation as traditional homemade Ghee. AGMARK Ghee.",Y
40127155,"GRB Ghee has the same taste, aroma and granulation like traditional home made ghee. It helps in improving digestion and also provides a good supply of energy to the body. Ghee is good for the overall physical health and it aids in enhancing muscle, strengthens the sense organ, nourishes the skin and improves complexion.",Y
252425,"GRB Ghee offers the rich, aromatic essence of traditional clarified butter, perfect for enhancing the flavour of any dish. Made from pure cow's milk, it adds a luxurious, golden touch to your cooking. Ideal for frying, baking, or as a delightful drizzle, GRB Ghee embodies authentic, wholesome goodness.",Y
252427,"GRB Ghee offers the rich, aromatic essence of traditional clarified butter, perfect for enhancing the flavour of any dish. Made from pure cow's milk, it adds a luxurious, golden touch to your cooking. Ideal for frying, baking, or as a delightful drizzle, GRB Ghee embodies authentic, wholesome goodness.",Y
252423,"GRB Ghee offers the rich, aromatic essence of traditional clarified butter, perfect for enhancing the flavour of any dish. Made from pure cow's milk, it adds a luxurious, golden touch to your cooking. Ideal for frying, baking, or as a delightful drizzle, GRB Ghee embodies authentic, wholesome goodness.",Y
255834,"Experience the rich and authentic taste of GRB Ghee, crafted from premium butter using traditional methods. Perfect for cooking and baking, its golden hue and nutty aroma enhance every dish. Enjoy the pure, natural goodness that brings a touch of culinary excellence to your kitchen.",Y
1214149,"GRB Ghee is clarified butter that is usually prepared from cow's milk. It is the clean butterfat left over after the milk solids and water are removed from the butter. Ghee is a good supply of energy and gives energy to the human body. Provides a wide range of essential nutrients. Improves brain and body functions and boosts immunity. A highly clarified butter that is used traditionally in Indian cuisines. It is considered to be a healthy fat and a powerhouse of nutrients. It adds much-needed taste and health to your diet. Ghee has a great nutritive value and is a must-have to develop bone strength. 1 spoon a day of Ghee keeps you fit & strong in this fast life where we need to be active & energetic always. Ghee can be consumed for better digestion. Ghee stimulates muscle movements, strengthens the sense organ, nourishes the skin, and improves complexion. Perfect for everyday consumption and helps you stay active and provides vitality. It is considered to have healthy fats and makes the food delicious and drool-worthy.",Y
1214148,"GRB Ghee is clarified butter, which is usually sprinkled over bread, subzis, cooked rice, sweets, etc., to impart an attractive smell. It is used to make a variety of sweets. Provides a wide range of essential nutrients. Improves brain and body functions and boosts immunity. A highly clarified butter that is used traditionally in Indian cuisines. It is considered to be a healthy fat and a powerhouse of nutrients. It adds much-needed taste and health to your diet. Ghee has a great nutritive value and is a must-have to develop bone strength. 1 spoon a day of Ghee keeps you fit & strong in this fast life where we need to be active & energetic always. Ghee can be consumed for better digestion. Ghee stimulates muscle movements, strengthens the sense organ, nourishes the skin, and improves complexion. Perfect for everyday consumption and helps you stay active and provides vitality. It is considered to have healthy fats and makes the food delicious and drool-worthy.",Y
1214150,"GRB is 100% pure and provides the taste of homemade ghee. It is added with sweets, food. It also GRB ghee is added with plain rice with some salt added and is excellent to go. Provides a wide range of essential nutrients. Improves brain and body functions and boosts immunity. A highly clarified butter that is used traditionally in Indian cuisines. It is considered to be a healthy fat and a powerhouse of nutrients. It adds much-needed taste and health to your diet. Ghee has a great nutritive value and is a must-have to develop bone strength. 1 spoon a day of Ghee keeps you fit & strong in this fast life where we need to be active & energetic always. Ghee can be consumed for better digestion. Ghee stimulates muscle movements, strengthens the sense organ, nourishes the skin, and improves complexion. Perfect for everyday consumption and helps you stay active and provides vitality. It is considered to have healthy fats and makes the food delicious and drool-worthy.",Y
40030808,"Whole Jeera (Cumin) offers a fragrant addition to your culinary repertoire. Sourced from quality cumin seeds, it delivers a robust, earthy flavour essential for authentic dishes. Perfect for tempering, grinding, or seasoning meats and vegetables.",N
10000486,"bb Royal Jeera, commonly known as cumin seeds, is a staple in many global cuisines due to its distinctive aroma and flavour. These seeds add a warm, earthy taste to a wide variety of dishes, enhancing their appeal. Apart from its culinary usage, jeera is also known for its numerous health benefits. It aids digestion, boosts immunity, and is a good source of iron. BB Royal ensures that these jeera seeds are carefully selected, cleaned, and packaged to maintain their high quality and freshness. Incorporating bb Royal Jeera in your cooking can elevate your dishes and promote good health.",Y
30000308,"Cumin, also known as Jeera, is a whole spice that originates from the seeds of the Cuminum cyminum plant. This aromatic spice is a staple in many cuisines worldwide, particularly in Middle Eastern, Indian, and Mexican recipes. Cumin seeds are often used whole or ground into a powder to add a warm, earthy flavour to various dishes such as curries, soups, stews, and meat preparations. Aside from culinary use, cumin is also an integral part of traditional Ayurvedic medicine. Cumin, or Jeera, is a versatile spice with a distinct earthy and warm flavour, making it a favourite in numerous global cuisines. In Indian cooking, it's a crucial component of spice blends like garam masala and curry powder, and it's often dry-roasted to enhance its flavour before grinding. Whole cumin seeds are typically tempered in hot oil at the beginning of cooking to infuse the oil and release its aroma. It's commonly used in dishes like curries, stews, soups, and rice preparations.",Y
10000479,"bb Royal Jeera, also known as cumin seeds, is an essential spice in every Indian kitchen. Known for its distinctive aroma and flavour, it imparts a warm, earthy taste to various dishes. Rich in iron and beneficial plant compounds, bb Royal Jeera offers numerous health benefits, including aiding digestion and boosting immunity. It can be used in its whole form or as a ground spice in curries, soups, and stews. bb Royal ensures that these jeera seeds are carefully selected, cleaned, and packed to maintain optimal quality and freshness, enhancing your cooking experience.",Y
40026603,"Whole Jeera (Cumin) offers a fragrant addition to your culinary repertoire. Sourced from quality cumin seeds, it delivers a robust, earthy flavour essential for authentic dishes. Perfect for tempering, grinding, or seasoning meats and vegetables.",Y
40021402,"Discover the rich, buttery flavour of our premium cashews. Sourced from the finest orchards, these cashews are roasted to perfection, offering a delightful crunch in every bite. Packed with essential nutrients and healthy fats, they make an ideal snack for any time of the day. Perfect for adding to recipes, salads, or enjoying on their own, our cashews are a versatile and nutritious choice for your pantry. They can be eaten raw or roasted and make for an easy portable snack. Whole or ground cashews can also be incorporated into a variety of dishes, ranging from scrambled tofu and stir-fries to soups, salads, and stews.",N
10000551,"Discover the rich, buttery flavour of our premium cashews. Sourced from the finest orchards, these cashews are roasted to perfection, offering a delightful crunch in every bite. Packed with essential nutrients and healthy fats, they make an ideal snack for any time of the day. Perfect for adding to recipes, salads, or enjoying on their own, our cashews are a versatile and nutritious choice for your pantry. They can be eaten raw or roasted and make for an easy portable snack. Whole or ground cashews can also be incorporated into a variety of dishes, ranging from scrambled tofu and stir-fries to soups, salads, and stews.",Y
10000497,"Cashew, also known as Kaju, is a popular nut rich in essential nutrients. They are packed with vitamins, minerals, and antioxidants, which are beneficial for maintaining good health. Whole cashews have a creamy, rich flavour that makes them a delicious snack on their own or a flavourful addition to various dishes. They can be enjoyed raw, roasted, or used in cooking to enhance the taste of desserts, salads, and main courses. Their buttery texture also makes them ideal for making dairy-free alternatives like cashew milk or cheese. Whole cashews are truly a versatile and nutritious food choice.",Y
10000523,"Cashew, also known as Kaju, is a popular nut rich in essential nutrients. They are packed with vitamins, minerals, and antioxidants, which are beneficial for maintaining good health. Whole cashews have a creamy, rich flavour that makes them a delicious snack on their own or a flavourful addition to various dishes. They can be enjoyed raw, roasted, or used in cooking to enhance the taste of desserts, salads, and main courses. Their buttery texture also makes them ideal for making dairy-free alternatives like cashew milk or cheese. Whole cashews are truly a versatile and nutritious food choice.",Y
10000475,"bb Royal Besan Fine/Barik, also known as Gram Flour, is made from 100% pure Chana Dal and is perfect for preparing a range of mouth-watering dishes. It is a staple ingredient in Indian cuisine. This high-quality besan contains no added preservatives or artificial flavours. It is known for its rich and wholesome taste, and its smooth fine texture helps you make traditional recipes like pakoras, curries, or sweet dishes like besan laddoo or halwa. bb Royal Besan is also rich in protein, fibre, and nutrients like iron and magnesium. Enjoy the delicious and healthy benefits of bb Royal Besan Fine/Barik.",N
30000155,"Elevate your cooking with our Fine Besan, a versatile ingredient made from premium chickpeas. This finely ground flour enhances both sweet and savoury dishes, adding a delicate texture and rich flavour. Ideal for creating delicious batters, snacks, and traditional recipes, it ensures a superior taste and quality in every meal. Perfect for all your culinary needs.",Y
